feature,rf_rank,xgb_rank,mean_rank
segment5_Az_median,1,5,3.0
segment9_Az_median,4,2,3.0
segment23_Az_median,8,1,4.5
segment8_Az_median,2,14,8.0
segment10_Az_median,15,3,9.0
segment13_Az_median,13,10,11.5
segment7_Az_median,5,18,11.5
segment12_Az_std,21,4,12.5
segment12_Az_median,22,6,14.0
segment17_Az_std,23,13,18.0
segment20_Az_std,17,25,21.0
segment18_Az_std,28,19,23.5
segment1_Az_mean,25,30,27.5
segment19_Az_median,27,29,28.0
segment18_Az_mean,33,28,30.5
segment15_Az_median,12,49,30.5
segment4_Az_median,14,51,32.5
segment14_Az_std,44,31,37.5
segment25_Az_median,19,59,39.0
segment7_Ax_max,51,35,43.0
segment1_Az_median,24,68,46.0
segment12_Ax_std,47,50,48.5
segment26_Ax_mean,50,48,49.0
segment13_Az_std,60,40,50.0
segment4_Az_std,61,41,51.0
segment12_Ax_mean,55,55,55.0
segment18_Az_median,16,101,58.5
segment20_Az_median,3,118,60.5
segment20_Gz_mean,104,20,62.0
segment21_Gx_max,116,9,62.5
segment0_Az_median,46,80,63.0
segment8_Az_mean,75,53,64.0
segment3_Az_median,6,133,69.5
segment9_Ax_std,96,44,70.0
segment15_Gz_median,112,32,72.0
segment12_Gx_max,138,8,73.0
segment25_Ax_std,133,15,74.0
segment16_Gz_mean,122,26,74.0
segment14_Gx_max,127,23,75.0
segment10_Az_std,79,84,81.5
segment13_Ax_std,59,106,82.5
segment17_Az_median,7,160,83.5
segment3_Ax_max,95,74,84.5
segment11_Az_median,10,161,85.5
segment21_Gz_mean,93,79,86.0
segment14_Gz_median,140,33,86.5
segment25_Az_mean,91,82,86.5
segment16_Gx_max,167,7,87.0
segment25_Ax_mean,78,98,88.0
segment0_Ay_mean,88,88,88.0
segment7_Az_std,39,137,88.0
segment20_Ax_mean,65,112,88.5
segment7_Ax_mean,48,130,89.0
segment7_Ay_max,152,27,89.5
segment6_Az_std,31,150,90.5
segment6_Ax_std,99,90,94.5
segment26_Ay_max,155,36,95.5
segment21_Az_std,34,158,96.0
segment3_Gz_mean,71,127,99.0
segment0_Ay_median,144,54,99.0
segment19_Az_std,30,170,100.0
segment8_Ax_std,177,24,100.5
segment16_Ax_std,107,96,101.5
segment10_Ax_std,161,43,102.0
segment15_Ax_mean,49,155,102.0
segment10_Ax_mean,102,103,102.5
segment14_Gx_std,142,65,103.5
segment5_Ax_max,143,66,104.5
segment26_Ax_max,62,149,105.5
segment16_Az_mean,100,111,105.5
segment5_Ax_mean,87,125,106.0
segment22_Az_std,40,175,107.5
segment18_Ax_std,108,109,108.5
segment14_Az_median,18,201,109.5
segment1_Az_std,86,142,114.0
segment22_Az_median,26,204,115.0
segment17_Ay_max,170,64,117.0
segment15_Ay_max,149,86,117.5
segment0_Ax_mean,165,75,120.0
segment15_Az_mean,166,76,121.0
segment16_Az_std,20,223,121.5
segment10_Gz_mean,202,45,123.5
segment20_Gz_median,120,129,124.5
segment14_Gz_mean,158,91,124.5
segment17_Ax_mean,42,217,129.5
segment3_Gx_max,216,46,131.0
segment3_Az_std,98,165,131.5
segment1_Ax_max,229,34,131.5
segment12_Gz_mean,174,92,133.0
segment26_Az_median,29,238,133.5
segment14_Ax_std,66,208,137.0
segment24_Ay_min,211,67,139.0
segment10_Gz_median,205,73,139.0
segment21_Ax_std,132,151,141.5
segment11_Ax_max,115,173,144.0
segment21_Ay_std,251,38,144.5
segment12_Gz_median,224,69,146.5
segment2_Az_mean,41,254,147.5
segment21_Ay_mean,225,71,148.0
segment26_Az_std,70,229,149.5
segment25_Az_std,73,227,150.0
segment5_Gx_max,195,105,150.0
segment18_Az_max,64,244,154.0
segment16_Az_median,52,260,156.0
segment8_Az_std,57,255,156.0
segment21_Az_median,9,307,158.0
segment6_Gy_mean,306,12,159.0
segment8_Gz_mean,74,247,160.5
segment22_Az_mean,260,62,161.0
segment9_Gz_mean,123,200,161.5
segment23_Az_std,162,163,162.5
segment21_Gz_median,207,123,165.0
segment6_Gz_mean,72,259,165.5
segment25_Gx_max,188,144,166.0
segment21_Ax_mean,68,265,166.5
segment15_Az_max,103,232,167.5
segment25_Ay_max,160,176,168.0
segment19_Ax_mean,97,240,168.5
segment21_Gy_mean,284,58,171.0
segment3_Ax_mean,125,220,172.5
segment18_Ax_mean,63,283,173.0
segment2_Ax_mean,173,178,175.5
segment24_Az_max,295,57,176.0
segment9_Az_std,38,315,176.5
segment7_Gz_mean,164,189,176.5
segment7_Az_min,236,117,176.5
segment23_Ay_mean,189,166,177.5
segment17_Gx_max,269,87,178.0
segment17_Az_mean,11,347,179.0
segment6_Az_mean,215,145,180.0
segment18_Ay_max,106,258,182.0
segment11_Az_mean,43,321,182.0
segment1_Ax_mean,67,298,182.5
segment8_Ax_max,151,214,182.5
segment14_Ay_median,245,126,185.5
segment0_Ax_median,274,99,186.5
segment23_Ax_mean,82,294,188.0
segment9_Gz_median,182,195,188.5
segment8_Az_min,315,63,189.0
segment24_Az_std,54,326,190.0
segment16_Ax_mean,53,327,190.0
segment7_Ax_min,266,114,190.0
segment11_Gx_std,261,121,191.0
segment21_Ay_max,147,235,191.0
segment2_Az_median,32,352,192.0
segment13_Ax_max,183,203,193.0
segment22_Gx_std,196,193,194.5
segment3_Az_max,344,47,195.5
segment23_Gz_median,375,17,196.0
segment11_Gz_mean,175,218,196.5
segment15_Az_std,83,310,196.5
segment21_Ax_max,223,171,197.0
segment23_Ay_median,337,60,198.5
segment4_Az_mean,58,340,199.0
segment3_Ay_max,136,262,199.0
segment22_Az_min,247,153,200.0
segment17_Gz_mean,114,289,201.5
segment3_Gz_median,231,172,201.5
segment16_Ax_max,319,85,202.0
segment17_Ax_std,101,313,207.0
segment4_Ax_std,139,275,207.0
segment22_Gz_median,242,174,208.0
segment25_Ax_max,217,199,208.0
segment24_Gy_min,292,128,210.0
segment21_Ay_min,281,141,211.0
segment6_Ay_std,371,52,211.5
segment1_Ay_mean,362,61,211.5
segment0_Gz_mean,168,257,212.5
segment11_Ax_mean,81,344,212.5
segment16_Ay_max,340,89,214.5
segment7_Ax_std,113,317,215.0
segment6_Ax_max,356,77,216.5
segment14_Ax_min,208,225,216.5
segment17_Ax_max,287,148,217.5
segment11_Az_std,89,346,217.5
segment24_Gx_max,335,100,217.5
segment0_Az_mean,298,139,218.5
segment9_Ay_min,297,140,218.5
segment5_Ay_mean,110,328,219.0
segment13_Az_mean,118,325,221.5
segment18_Gx_median,197,246,221.5
segment7_Az_mean,35,411,223.0
segment11_Ay_max,135,312,223.5
segment19_Ax_std,45,403,224.0
segment2_Gz_mean,137,319,228.0
segment1_Gx_std,176,282,229.0
segment8_Gy_mean,222,239,230.5
segment8_Ax_mean,275,187,231.0
segment6_Ax_mean,77,386,231.5
segment26_Ax_std,394,70,232.0
segment10_Gx_std,148,322,235.0
segment21_Ax_min,243,230,236.5
segment6_Az_median,37,445,241.0
segment2_Gz_median,267,216,241.5
segment7_Az_max,218,266,242.0
segment7_Gz_median,403,83,243.0
segment4_Gz_median,374,113,243.5
segment3_Ax_std,385,102,243.5
segment18_Ax_max,179,309,244.0
segment4_Ax_max,244,248,246.0
segment13_Ay_mean,291,202,246.5
segment24_Ax_mean,129,364,246.5
segment13_Az_max,282,212,247.0
segment4_Gx_std,199,297,248.0
segment9_Ax_mean,169,329,249.0
segment14_Az_mean,84,415,249.5
segment11_Ax_std,210,290,250.0
segment1_Ax_min,370,132,251.0
segment5_Gz_std,465,39,252.0
segment20_Ay_mean,270,234,252.0
segment12_Ax_max,187,318,252.5
segment13_Ax_mean,111,394,252.5
segment15_Ax_min,360,146,253.0
segment5_Gz_mean,235,273,254.0
segment24_Ax_min,286,224,255.0
segment8_Ay_max,131,381,256.0
segment19_Gx_median,349,164,256.5
segment12_Gx_mean,332,183,257.5
segment26_Ay_median,372,143,257.5
segment4_Ay_max,336,179,257.5
segment5_Ay_max,200,316,258.0
segment0_Ay_min,308,209,258.5
segment17_Az_max,153,365,259.0
segment18_Gx_std,321,198,259.5
segment7_Gx_std,233,288,260.5
segment20_Ay_max,191,330,260.5
segment12_Ay_std,293,228,260.5
segment23_Gx_std,184,338,261.0
segment8_Gz_median,346,180,263.0
segment14_Az_max,301,233,267.0
segment9_Gy_median,255,279,267.0
segment11_Gx_median,154,380,267.0
segment7_Gx_median,258,280,269.0
segment5_Az_mean,180,361,270.5
segment9_Ax_max,119,424,271.5
segment3_Az_mean,331,213,272.0
segment24_Ax_std,105,439,272.0
segment9_Ay_mean,252,292,272.0
segment9_Gx_median,56,489,272.5
segment15_Ax_std,94,452,273.0
segment1_Gy_min,427,119,273.0
segment5_Gz_median,248,299,273.5
segment17_Ay_min,272,277,274.5
segment9_Az_mean,277,274,275.5
segment16_Ay_mean,445,107,276.0
segment12_Ay_mean,323,231,277.0
segment16_Az_min,193,362,277.5
segment17_Az_min,256,303,279.5
segment21_Gy_median,345,215,280.0
segment2_Gy_std,422,138,280.0
segment2_Az_min,276,285,280.5
segment10_Gz_std,452,116,284.0
segment22_Ay_max,214,355,284.5
segment19_Ay_max,194,377,285.5
segment2_Az_std,156,417,286.5
segment11_Ax_min,311,264,287.5
segment4_Gz_mean,117,459,288.0
segment18_Ax_min,474,104,289.0
segment10_Ax_max,163,416,289.5
segment12_Az_min,433,154,293.5
segment18_Gz_mean,203,384,293.5
segment8_Gy_std,444,147,295.5
segment25_Ay_min,458,134,296.0
segment4_Gy_mean,582,11,296.5
segment17_Gz_std,401,192,296.5
segment0_Gz_median,338,256,297.0
segment10_Ay_max,145,449,297.0
segment5_Ax_min,398,196,297.0
segment25_Ax_min,574,21,297.5
segment18_Gz_median,141,455,298.0
segment17_Gy_min,412,185,298.5
segment1_Ax_median,555,42,298.5
segment3_Gx_std,85,514,299.5
segment6_Gx_std,130,470,300.0
segment5_Az_max,492,108,300.0
segment1_Gz_mean,198,402,300.0
segment22_Az_max,368,236,302.0
segment13_Gz_std,567,37,302.0
segment21_Gx_std,263,341,302.0
segment1_Gx_median,172,434,303.0
segment11_Gz_std,591,16,303.5
segment24_Az_mean,333,276,304.5
segment20_Gx_std,364,245,304.5
segment10_Az_max,146,464,305.0
segment2_Ay_std,535,78,306.5
segment25_Gz_std,462,152,307.0
segment6_Gz_median,150,465,307.5
segment18_Gy_mean,328,287,307.5
segment21_Az_max,524,93,308.5
segment5_Gx_std,209,409,309.0
segment18_Gx_max,221,399,310.0
segment2_Gy_min,419,207,313.0
segment19_Gy_mean,378,249,313.5
segment25_Gz_mean,192,435,313.5
segment18_Ay_mean,434,194,314.0
segment6_Az_max,361,269,315.0
segment6_Ay_mean,237,393,315.0
segment10_Az_mean,90,544,317.0
segment8_Ay_median,367,270,318.5
segment25_Az_max,523,115,319.0
segment23_Gx_mean,206,433,319.5
segment26_Gz_median,618,22,320.0
segment9_Ay_max,157,483,320.0
segment1_Gy_mean,460,182,321.0
segment14_Ax_mean,69,574,321.5
segment8_Ay_std,548,95,321.5
segment13_Ay_max,239,405,322.0
segment11_Az_min,201,443,322.0
segment6_Gy_median,513,136,324.5
segment20_Ax_max,476,177,326.5
segment7_Gy_median,416,241,328.5
segment2_Az_max,246,413,329.5
segment23_Az_min,604,56,330.0
segment8_Gx_std,134,528,331.0
segment3_Ax_median,540,122,331.0
segment26_Ax_min,268,398,333.0
segment11_Ax_median,479,188,333.5
segment3_Gz_std,316,351,333.5
segment15_Gy_std,464,205,334.5
segment19_Az_min,259,412,335.5
segment4_Ay_min,390,281,335.5
segment0_Gz_max,491,181,336.0
segment17_Gx_std,226,448,337.0
segment6_Ay_max,159,518,338.5
segment13_Gy_median,312,366,339.0
segment0_Ay_max,305,375,340.0
segment22_Ax_mean,485,197,341.0
segment20_Az_mean,278,404,341.0
segment4_Gx_median,343,339,341.0
segment19_Gz_mean,264,421,342.5
segment8_Ax_min,437,250,343.5
segment26_Ax_median,520,167,343.5
segment4_Ax_mean,124,564,344.0
segment19_Ay_median,609,81,345.0
segment3_Ay_mean,253,437,345.0
segment26_Gz_std,508,184,346.0
segment17_Gy_std,564,131,347.5
segment12_Gy_mean,327,370,348.5
segment2_Ax_max,325,373,349.0
segment14_Ay_mean,121,577,349.0
segment9_Gy_min,448,251,349.5
segment4_Gy_std,313,387,350.0
mode,481,219,350.0
segment12_Gx_std,299,401,350.0
segment20_Az_max,240,462,351.0
segment23_Ay_min,543,159,351.0
segment12_Gy_median,410,293,351.5
segment16_Gx_median,494,211,352.5
segment19_Az_mean,92,614,353.0
segment2_Ay_max,318,389,353.5
segment24_Gx_median,435,272,353.5
segment25_Gz_median,417,295,356.0
segment26_Gy_min,502,210,356.0
segment7_Gy_std,443,271,357.0
segment14_Ay_max,290,426,358.0
segment11_Ay_std,599,120,359.5
segment8_Az_max,288,431,359.5
segment6_Ax_min,503,221,362.0
segment23_Ax_max,303,422,362.5
segment24_Ay_median,392,334,363.0
segment3_Gy_mean,421,308,364.5
segment0_Az_std,634,97,365.5
segment23_Gy_min,526,206,366.0
segment15_Ax_median,556,186,371.0
segment24_Ay_max,366,378,372.0
segment17_Gy_mean,622,124,373.0
segment23_Gz_mean,404,342,373.0
segment2_Gx_median,307,440,373.5
segment12_Ay_max,279,469,374.0
segment13_Gz_mean,178,570,374.0
segment26_Ay_mean,590,162,376.0
segment23_Ay_max,347,407,377.0
segment6_Gx_median,228,526,377.0
segment23_Ax_std,109,647,378.0
segment21_Ay_median,334,423,378.5
segment6_Ay_min,212,545,378.5
segment20_Az_min,451,306,378.5
segment15_Gx_std,171,587,379.0
segment22_Gz_mean,369,390,379.5
segment5_Gy_median,304,456,380.0
segment26_Gz_min,596,168,382.0
segment16_Gz_median,498,268,383.0
segment19_Az_max,320,446,383.0
segment4_Gy_median,468,300,384.0
segment5_Az_std,80,688,384.0
segment0_Gx_max,675,94,384.5
segment22_Gz_std,466,304,385.0
segment9_Gx_mean,317,454,385.5
segment22_Gy_mean,354,418,386.0
segment12_Gz_std,638,135,386.5
segment10_Ax_min,285,492,388.5
segment16_Gx_std,516,261,388.5
segment2_Ax_min,447,331,389.0
segment9_Gy_std,289,490,389.5
segment13_Ax_min,518,267,392.5
segment12_Az_mean,36,750,393.0
segment5_Gy_mean,537,253,395.0
segment15_Ay_std,384,406,395.0
segment20_Gx_max,719,72,395.5
segment7_Gy_mean,353,441,397.0
segment19_Ay_min,185,612,398.5
segment23_Gx_median,557,242,399.5
segment14_Gy_mean,350,450,400.0
segment4_Ay_median,339,467,403.0
segment14_Gy_std,649,157,403.0
segment6_Gx_mean,330,482,406.0
segment9_Az_max,329,484,406.5
segment12_Gx_median,624,190,407.0
segment0_Gy_mean,554,263,408.5
segment16_Ax_min,219,601,410.0
segment0_Ax_min,461,360,410.5
segment4_Ay_mean,230,592,411.0
segment25_Gx_std,128,698,413.0
segment9_Az_min,342,486,414.0
segment7_Ay_std,597,237,417.0
segment0_Gx_median,608,226,417.0
segment25_Ay_std,389,447,418.0
segment4_Ax_min,254,584,419.0
segment15_Ay_min,204,635,419.5
segment24_Gz_std,525,314,419.5
segment15_Ax_max,213,634,423.5
segment20_Ax_std,391,457,424.0
segment8_Ax_median,660,191,425.5
segment9_Ay_std,601,252,426.5
segment7_Gy_min,747,110,428.5
segment24_Az_median,76,781,428.5
segment7_Gx_max,300,557,428.5
segment20_Gy_std,552,305,428.5
segment18_Ay_min,489,369,429.0
segment1_Ay_max,387,472,429.5
segment19_Ay_mean,249,610,429.5
segment10_Ay_median,430,432,431.0
segment20_Gx_median,531,335,433.0
segment22_Gy_min,400,466,433.0
segment7_Gz_std,500,371,435.5
segment3_Ax_min,232,640,436.0
segment3_Gx_mean,358,515,436.5
segment4_Gy_min,405,468,436.5
segment19_Gx_std,257,617,437.0
segment13_Gz_median,302,573,437.5
segment8_Gx_min,517,359,438.0
segment13_Gy_min,396,480,438.0
segment16_Az_max,241,636,438.5
segment13_Ay_median,511,372,441.5
segment8_Gx_max,357,529,443.0
segment18_Gz_std,283,605,444.0
segment26_Az_max,234,658,446.0
segment1_Ax_std,532,363,447.5
segment18_Gy_std,551,345,448.0
segment14_Az_min,606,291,448.5
segment6_Ax_median,352,548,450.0
segment26_Az_mean,482,420,451.0
segment1_Ay_min,440,463,451.5
segment15_Gx_median,314,590,452.0
segment6_Ay_median,547,358,452.5
segment17_Ay_std,411,497,454.0
segment4_Gx_max,610,302,456.0
segment24_Ax_max,126,787,456.5
segment13_Gy_mean,439,481,460.0
segment23_Ax_min,522,400,461.0
segment7_Ay_median,575,349,462.0
segment2_Ax_median,578,350,464.0
segment13_Gx_min,776,156,466.0
segment0_Ax_std,559,374,466.5
segment2_Gy_median,454,479,466.5
segment25_Gy_median,463,471,467.0
segment10_Gx_min,767,169,468.0
segment0_Gy_min,693,243,468.0
segment17_Ax_min,541,396,468.5
segment4_Az_max,381,561,471.0
segment11_Gy_min,633,311,472.0
segment15_Gz_mean,348,596,472.0
segment9_Ax_median,611,336,473.5
segment18_Az_min,309,641,475.0
segment17_Ay_median,442,511,476.5
segment26_Gy_median,667,286,476.5
segment2_Gx_mean,653,301,477.0
segment6_Gx_max,426,530,478.0
segment0_Gx_std,565,391,478.0
segment22_Gx_mean,628,332,480.0
segment10_Gy_std,424,537,480.5
segment14_Gx_mean,359,602,480.5
segment1_Gy_max,742,222,482.0
segment26_Ay_min,670,296,483.0
segment2_Ax_std,238,729,483.5
segment16_Ay_min,388,581,484.5
segment2_Gx_std,250,720,485.0
segment9_Gy_mean,495,475,485.0
segment21_Gx_median,546,427,486.5
segment22_Ay_median,545,430,487.5
segment23_Az_mean,186,789,487.5
segment6_Az_min,480,496,488.0
segment22_Ax_median,595,383,489.0
segment21_Az_mean,181,802,491.5
segment5_Ax_std,220,764,492.0
segment5_Ax_median,632,354,493.0
segment26_Gx_std,324,662,493.0
segment10_Ay_mean,449,541,495.0
segment13_Ay_min,227,763,495.0
segment3_Gy_std,672,320,496.0
